Instructions: ,"1) Keep Cols A-C SIMPLE, no commas,  spaces or other punctuation, I’ve made exceptions for  “/” or “_”
2) Cols A-J are read by a computer and must be perfect:
--- No Notes in those columns
--- No Blank values
3) Don’t add information below the real data - it will cause errors
4) THIS MUST BE SAVED AS A “.csv” file, NOT Excel or Gsheets.
Questions: Ask Dale",,,,,,"Dale: please also show
Rsphere
PMO2",,,,,,
START,,,,,,,,,,,,,
Species,GeneticBackground,GenotypeAndName,MCV (fl),MCHC (g/dl),MCH (pg),Intact-rbc-kHbO2 (s-1),100%-lysate-kHbO2 (s-1),Major Diameter (µm),r (last prog calc),PmO2,N,NOTE:,
Mouse,C57BL/6Case_Avg,WT,48.945,30.055,14.625,4.1865,12.1295,6.956,1.00035,0.1586,,"Avg done on feb 26, 2025",
Mouse,C57BL/6Case_Ctrl_6J_Pan,WT,48.49,30.39,14.64,4.156,12.167,6.956,0.9945,0.1556,,,
Mouse,C57BL/6J_Pan,WT,44.2,33.16,14.64,5.08,11.305,7.6,0.8749,0.2668,,,
Mouse,C57BL/6Case_Ctrl_BalbC_Pan,WT,49.4,29.72,14.61,4.217,12.092,6.956,1.0062,0.1616,,,7.362
Mouse,BalbC/J_Pan,WT,51.66,28.72,14.81,3.824,13.35,7.414,0.97957,0.1051,,,
Mouse,C57BL/6Case_Ctrl_6J_Pan,WT-m,47.706,30.956,14.68,4.166,12.21,7.128,,,,,
Mouse,C57BL/6J_Pan,WT-m,43.575,33.3,14.49,5.08,11.16,7.768,,,,,
Mouse,C57BL/6Case_Ctrl_BalbC_Pan,WT-m,49.87,29.4,14.62,4.35,11.74,7.128,,,,,
Mouse,BalbC/J_Pan,WT-m,50.94,28.72,14.6,3.896,12.969,7.323,,,,,
Mouse,C57BL/6Case_Ctrl_6J_Pan,WT-f,49.618,29.55,14.57,4.145,12.12,6.785,,,,,
Mouse,C57BL/6J_Pan,WT-f,45.109,32.945,14.845,5.078,11.446,7.433,,,,,
Mouse,C57BL/6Case_Ctrl_BalbC_Pan,WT-f,48.92,30.04,14.59,4.08,12.44,6.785,,,,,
Mouse,BalbC/J_Pan,WT-f,52.38,28.71,15.01,3.75,13.73,7.48,,,,,
Mouse,CAST/EIJ,WT,45.7,0,13.8,3.691,10.8,7.23,,0.1041,,D=Avg of 4 Wts,
Mouse,AE1/6JBkg,WT,44.94,31.92,14.31,4.63,11.28,7.23,,0.2039,,D=Avg of 4 Wts,
Mouse,AE1/6JBkg,Het,43.55,31.77,13.85,4.41,11.24,7.23,,0.1635,,D=Avg of 4 Wts,
Mouse,AE1,WT,45.14,31.69,14.27,4.67,11.39,7.23,,0.2064,,D=Avg of 4 Wts,
Mouse,AE1,Het,43.41,31.74,13.83,4.396,11.24,7.23,,0.16196,,D=Avg of 4 Wts,
Mouse,Medium-AQPIWT,WT-m,50.73,28.05,14.25,3.71,12.8,100,,,4,,
Mouse,Medium-AQPIWT,WT-f,52.43,28.23,14.78,3.91,12.89,100,,,4,,
Mouse,Medium-AQPIWT,WT,51.58,28.14,14.51,3.81,12.85,100,,,8,,
Mouse,Low-AQPIWT,WT-m,49.65,28.3,14.05,2.85,11.6,6.529924,,,4,,
Mouse,Low-AQPIWT,WT-f,51.73,28.43,14.68,2.89,11.8,6.649837,,,4,,
Mouse,Low-AQPIWT,WT,50.69,28.36,14.36,2.87,11.7,6.58988,,0.0742,8,,
Mouse,C57BL/6J,m,45.05,31.9,14.35,4.86,11.3,100,,,2,,
Mouse,C57BL/6J,f,45.13,32.97,14.9,5.15,11.24,100,,,3,lysate (n=1),
Mouse,C57BL/6J,all,45.1,32.54,14.68,5.03,11.28,100,,,5,lysate (n=3),
Mouse,Cast,m,47.05,26.7,12.55,4.13,13.11,100,,,2,,
Mouse,Cast,f,45.73,29.33,13.37,4.14,12.81,100,,,3,lysate (n=1),
Mouse,Cast,all,46.26,28.28,13.04,4.14,13.01,7.23,,0.1107,5,Lysate (n=3)  D= guess (From 2-21-2025 lab meeting),
